,police_precinct_address,Latitude,Longtitude
1,16 Ericsson Place,40.72037,-74.00707
2,19 Elizabeth Street,40.71618,-73.99746
3,233 West 10 Street,40.73404,-74.00545
4,19 1/2 Pitt Street,40.71629,-73.98377
5,321 East 5 Street,40.72644,-73.9879
6,230 West 20th Street,40.7427,-73.99865
7,230 East 21st Street,40.64871,-73.95987
8,357 West 35th Street,40.75382,-73.99499
9,167 East 51st Street,40.75676,-73.97079
10,306 West 54th Street,40.76494,-73.98508
11,153 East 67th Street,40.76721,-73.9639
12,120 West 82nd Street,40.78412,-73.97508
13,86th St & Transverse Road,40.62281,-74.0283
14,164 East 102nd Street,40.78918,-73.94722
15,151 West 100th Street,40.7964,-73.96736
16,120 East 119th Street,40.80069,-73.94112
17,520 West 126th Street,40.81469,-73.95654
18,2271-89 8th Avenue,40.80873,-73.95245
19,451 West 151st Street,40.82871,-73.9438
20,250 West 135th Street,40.81581,-73.9453
21,2207 Amsterdam Avenue,40.84071,-73.93564
22,4295 Broadway,40.85132,-73.93534
23,257 Alexander Avenue,40.81031,-73.9252
24,1035 Longwood Avenue,40.81629,-73.89581
25,830 Washington Avenue,40.82235,-73.9115
26,900 Fteley Avenue,40.82311,-73.86991
27,2 East 169th Street,40.83765,-73.91951
28,2877 Barkley Avenue,40.83075,-73.82725
29,2120 Ryer Avenue,40.85383,-73.90033
30,4111 Laconia Avenue,40.88735,-73.84751
31,450 Cross Bronx Expressway,40.844,-73.90035
32,2121 Eastchester Road,40.85638,-73.84408
33,3450 Kingsbridge Avenue,40.88365,-73.90259
34,3016 Webster Avenue,40.86859,-73.88044
35,2951 West 8th Street,40.57655,-73.97628
36,2575 Coney Island Avenue,40.59403,-73.96061
37,1925 Bath Avenue,40.60235,-74.00296
38,1844 Brooklyn Avenue,40.62798,-73.94152
39,5822 16th Avenue,40.62568,-73.99136
40,2820 Snyder Avenue,40.64877,-73.95019
41,333 65th Street,40.63895,-74.02267
42,9720 Foster Avenue,40.64858,-73.90506
43,154 Lawrence Avenue,40.63041,-73.97388
44,421 Empire Boulevard,40.66447,-73.94789
45,830 4th Avenue,40.65822,-74.00077
46,1470 East New York Avenue,40.67085,-73.91374
47,1000 Sutter Avenue,40.67128,-73.88158
48,191 Union Street,40.68374,-74.00024
49,127 Utica Avenue,40.67471,-73.9304
50,65 6th Avenue,40.72156,-74.00547
51,263 Tompkins Avenue,40.68887,-73.94487
52,30 Ralph Avenue,40.68971,-73.92422
53,480 Knickerbocker Avenue,40.69833,-73.91777
54,301 Gold Street,40.69533,-73.98309
55,298 Classon Avenue,40.69003,-73.96037
56,211 Union Avenue,40.70638,-73.95054
57,100 Meserole Avenue,40.72681,-73.9532
58,92-24 Rockaway Beach Boulevard,40.58643,-73.81585
59,16-12 Mott Avenue,40.60295,-73.74999
60,87-34 118th Street,40.69883,-73.83152
61,168-02 P.O Edward Byrne Ave.,40.70704,-73.79261
62,64-2 Catalpa Avenue,40.70324,-73.89827
63,92-08 222nd Street,40.72601,-73.73483
64,103-53 101st Street,40.68218,-73.83969
65,71-01 Parsons Boulevard,40.72847,-73.81095
66,5-47 50th Avenue,40.74309,-73.95529
67,37-05 Union Street,40.76184,-73.82704
68,94-41 43rd Avenue,40.7451,-73.8702
69,45-06 215th Street,40.76017,-73.76784
70,68-40 Austin Street,40.72228,-73.85125
71,167-02 Baisley Boulevard,40.67968,-73.77589
72,34-16 Astoria Boulevard,40.7693,-73.91548
73,92-15 Northern Boulevard,40.75673,-73.87537
74,78 Richmond Terrace,40.64468,-74.07735
75,970 Richmond Avenue,40.62365,-74.1505
76,2320 Hylan Boulevard,40.57422,-74.10563
77,116 Main Street,40.51191,-74.24987
